relative_keyword,total_search,total_store_count,competitive_rate
나이키운동화,296100.0,2439264.0,8.24
운동화,150200.0,16945203.0,112.82
어그슬리퍼,400400.0,275431.0,0.69
크록스,603900.0,779368.0,1.29
캐리어,234800.0,5825114.0,24.81
크로스백,128500.0,13715889.0,106.74
백팩,145800.0,10207994.0,70.01
안전화,102500.0,2131377.0,20.79
양말,142500.0,10625946.0,74.57
스카프,95000.0,4685650.0,49.32
루이비통가방,264100.0,323685.0,1.23
카드지갑,126600.0,5721446.0,45.19
아디다스운동화,113700.0,1508440.0,13.27
에코백,90700.0,2263861.0,24.96
뉴발란스운동화,155900.0,822341.0,5.27
어그부츠,363900.0,443123.0,1.22
어그,616100.0,857536.0,1.39
롱부츠,85030.0,2178441.0,25.62
미니캐리어,18550.0,375310.0,20.23
뉴발란스530,201000.0,45150.0,0.22
바디워시,61180.0,1419496.0,23.2
바디로션,86400.0,1061528.0,12.29
마데카크림,92860.0,34030.0,0.37
AHC아이크림,72200.0,29459.0,0.41
샴푸,79700.0,4112770.0,51.6
디올립글로우,115220.0,12608.0,0.11
탈모샴푸,68900.0,271324.0,3.94
핸드크림,99700.0,539193.0,5.41
헤어에센스,58170.0,466177.0,8.01
인셀덤,107000.0,42741.0,0.4
달바미스트세럼,67870.0,18952.0,0.28
마스크팩,54930.0,784265.0,14.28
헤라블랙쿠션,77490.0,4545.0,0.06
키엘수분크림,57610.0,4546.0,0.08
바이오틴탈모샴푸,30100.0,3045.0,0.1
선크림,45750.0,693628.0,15.16
염색약,52090.0,725607.0,13.93
입생로랑쿠션,70270.0,4984.0,0.07
수분크림,57220.0,622138.0,10.87
립밤,84200.0,417566.0,4.96
가습기,506300.0,1393937.0,2.75
전기매트,147600.0,1210289.0,8.2
탄소매트,183500.0,296018.0,1.61
가열식가습기,242600.0,77995.0,0.32
냉장고,223600.0,5617056.0,25.12
보조배터리,199200.0,1362187.0,6.84
아이폰15프로케이스,123000.0,401147.0,3.26
카본매트,201600.0,243562.0,1.21
무선청소기,137900.0,1789768.0,12.98
김치냉장고,211500.0,261246.0,1.24
온수매트,207900.0,178351.0,0.86
전기장판,267100.0,572504.0,2.14
전자레인지,151100.0,1946669.0,12.88
에어프라이어,226300.0,453765.0,2.01
에어팟프로2,270200.0,194945.0,0.72
노트북,231100.0,17838771.0,77.19
앱코키보드,14530.0,40613.0,2.8
전기히터,109600.0,1901227.0,17.35
전기요,77100.0,486339.0,6.31
스탠바이미,250400.0,13191.0,0.05
침대,166600.0,15469797.0,92.86
침대프레임,100900.0,1110325.0,11.0
쇼파,133700.0,10403187.0,77.81
화장대,83600.0,3271706.0,39.14
행거,171100.0,5245753.0,30.66
식탁의자,79550.0,3008262.0,37.82
매트리스,144000.0,2961631.0,20.57
극세사이불,89900.0,743705.0,8.27
러그,110800.0,7037179.0,63.51
서랍장,108500.0,2513970.0,23.17
